Custom Field - label: Sales Invoice-hspos_hspos_opening_shift,POS Shift,POS Turno
DocType: HSPOS Closing Shift,POS Transactions,POS Transções
DocType: HSPOS Closing Shift,highspeed_pos,highspeed_pos
DocType: HSPOS Closing Shift,Payment Reconciliation,Reconciliação de Pagamento
DocType: HSPOS Closing Shift,Period End Date,Data de Fim de Periodo
DocType: HSPOS Closing Shift,Period Start Date,Data de Inicio de Periodo
DocType: HSPOS Closing Shift,Posting Date,Data de Postagem
Custom Field - label: Batch-hspos_batch_price,Price,Preço
DocType: HSPOS Offer,Price Discount Scheme ,Esquema de Desconto de Preço
Custom Field - label: Sales Invoice-hspos_is_printed,Printed,Imprimido
DocType: HSPOS Offer,Product Discount Scheme,Esquema de Desconto de Produto
DocType: HSPOS Offer,Promo Type,Tipo de Promo
DocType: HSPOS Offer,Qualifying Transaction / Item,Qualificando Transação / Item
DocType: HSPOS Offer,Quantity and Amount Conditions,Condições de Quantidade e Valor
DocType: HSPOS Closing Shift Taxes,Rate,Preço
DocType: HSPOS Offer,Replace Cheapest Item,Substituir Item mais Barato
DocType: HSPOS Offer,Replace Same Item,Substituir pelo Mesmo Item
DocType: HSPOS Offer Detail,Row ID,ID da Linha
DocType: HSPOS Sales Invoice Reference,Sales Invoice,Factura de Venda
DocType: HSPOS Sales Invoice Reference,HSPOS Sales Invoice Reference,Referencia da Factura de Venda
DocType: HSPOS Closing Shift,Sales Manager,Gestor de Vendas
DocType: HSPOS Offer,Sales Master Manager,Gerente Mestre de Vendas
apps/highspeed_pos/highspeed_pos/highspeed_pos/doctype/hspos_closing_shift/closing_shift_details.html,Sales Summary,Resumo de Vendas
DocType: HSPOS Offer,Sales User,Usuário de Vendas
Custom Field - label: POS Profile-hspos_scale_barcode_start,Scale Barcode Start With,Codigo de Barras de Peso começa com 
Custom Field - label: POS Profile-hspos_search_serial_no,Search by Serial Number,Procurar por Numero de Serie
apps/highspeed_pos/highspeed_pos/highspeed_pos/doctype/hspos_closing_shift/hspos_closing_shift.py,Selected HSPOS Opening Shift should be open.,Abertura de Turno do POS selecionado deve estar aberto.
Custom Field - description: POS Profile-hspos_allow_submissions_in_background_job,Send invoice to submit after printing,Enviar Factura para Submeter depois de Imprimir
DocType: HSPOS Opening Shift,Set Posting Date,Definir Data de Postagem
Custom Field - label: POS Profile-hspos_show_template_items,Show Template Items,Mostrar Modelo de Itens
DocType: HSPOS Opening Shift,Status,Status
apps/highspeed_pos/highspeed_pos/highspeed_pos/api/status_updater.py,Status must be one of {0},O Status deve ser um dos {0}
DocType: HSPOS Closing Shift,System Manager,Gestor de Sistema
DocType: HSPOS Closing Shift,Taxes,Impostos
apps/highspeed_pos/highspeed_pos/highspeed_pos/api/hsposapp.py,This invoice {0} cannot be deleted,Esta factura {0} não pode ser apagada
apps/highspeed_pos/highspeed_pos/highspeed_pos/api/hsposapp.py,Invoice {0} Deleted,Factura {0} Apagada
DocType: HSPOS Offer,Title,Titulo
DocType: HSPOS Closing Shift,Total Quantity,Quantidade Total
DocType: HSPOS Offer,Transaction,Transação
Custom Field - label: Item Barcode-hspos_uom,UOM,UDM
Custom Field - label: POS Profile-hspos_local_storage,Use Browser Local Storage,Use o armazenamento local do navegador
Custom Field - label: POS Profile-use_cashback,Use Cashback,Use Cashback
Custom Field - label: POS Profile-use_customer_credit,Use Customer Credit,Usar Credito de Cliente
apps/highspeed_pos/highspeed_pos/highspeed_pos/doctype/hspos_opening_shift/hspos_opening_shift.py,User {} has been disabled. Please select valid user/cashier,Usuário {} foi desactivado. Por favor selecione um usuário/caixa valido
DocType: HSPOS Offer,Valid From,Valido Apartir
DocType: HSPOS Offer,Valid Upto,Valido Até
DocType: HSPOS Offer,Warehouse,Armazém
apps/highspeed_pos/highspeed_pos/highspeed_pos/page/hsposapp/hsposapp.js,is Offer,é Oferta
apps/highspeed_pos/highspeed_pos/highspeed_pos/page/hsposapp/hsposapp.js,Type,Tipo
apps/highspeed_pos/highspeed_pos/highspeed_pos/page/hsposapp/hsposapp.js,Total Qty,Qtd Total
